category_level_1_name;category_level_2_name;category_level_3_name;category_level_4_name;category_level_5_name;category_action;category_id;category_url;;param_action;param_type;param_id;param_name;param_multiselect_on_posting;param_multiselect_on_filter;param_required_on_posting;;value_action;value_id;value_url;value_name
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5387;Особенности;;;;;new;76702;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/pultla;Пульт управления
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5387;Особенности;;;;;new;76717;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/bashlatma-mexanizmi;Пусковой механизм
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные поезда;-;new;11171;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-qatarlar;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные поезда;-;new;11171;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-qatarlar;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные поезда;-;new;11171;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-qatarlar;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные вертолеты;-;new;11172;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-helikopterler;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные вертолеты;-;new;11172;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-helikopterler;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные вертолеты;-;new;11172;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-helikopterler;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;29;Состояние;;;;;add;2757;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/new;Новый
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;29;Состояние;;;;;add;2756;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/used;Б/у
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;425;Доставка;;;;;add;27236;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/p-27236-customer-pickup;Самовывоз
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;425;Доставка;;;;;add;30644;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/delivery-to-areas;Доставка в районы
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;425;Доставка;;;;;add;27240;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/free-delivery;Бесплатная доставка
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные самолеты;-;new;11306;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler;;add;dropdown;425;Доставка;;;;;add;27241;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-teyyareler/paid-delivery;Платная доставка
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;;;;;;;;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;29;Состояние;ЛОЖЬ;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;29;Состояние;;;;;add;2757;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/new;Новый
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;29;Состояние;;;;;add;2756;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/used;Б/у
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;425;Доставка;ИСТИНА;ИСТИНА;ИСТИНА;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;425;Доставка;;;;;add;27236;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/p-27236-customer-pickup;Самовывоз
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;425;Доставка;;;;;add;30644;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/delivery-to-areas;Доставка в районы
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные корабли;-;new;11301;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler;;add;dropdown;425;Доставка;;;;;add;27240;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-gemiler/free-delivery;Бесплатная доставка
